Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D4,LED,LED_1206_3216Metric,155.1,-72.5,180,bottom
D5,LED,LED_1206_3216Metric,144,-72.5,180,bottom
D6,LED,LED_1206_3216Metric,167.6,-72.5,180,bottom
R5,1K,R_0603_1608Metric,159.6,-72.65,-90,bottom
R6,1K,R_0603_1608Metric,147.3,-72.7,-90,bottom
R7,1K,R_0603_1608Metric,149,-72.675,-90,bottom
R9,470,R_0603_1608Metric,151,-71.825,-90,bottom
R10,470,R_0603_1608Metric,140.6,-72.6,-90,bottom
R11,470,R_0603_1608Metric,164,-72,-90,bottom
C1,100nf,C_0603_1608Metric,148.225,-79.4,0,top
C2,1uf,C_0603_1608Metric,141.275,-82.2,0,top
C3,100nf,C_0603_1608Metric,161.125,-79.4,0,top
C4,10pf,C_0402_1005Metric,166.88,-73.67,180,top
C5,10pf,C_0402_1005Metric,166.88,-72.4,180,top
C6,100nf,C_0603_1608Metric,141.625,-85.1,0,top
C7,100nf,C_0603_1608Metric,141.625,-86.7,0,top
C8,100nf,C_0603_1608Metric,144.4,-110.1,0,top
C9,100nf,C_0603_1608Metric,144.4,-111.7,0,top
C10,100nf,C_0603_1608Metric,162.275,-88.4,0,top
C11,100nf,C_0603_1608Metric,162.325,-91.3,0,top
C12,100nf,C_0603_1608Metric,144.675,-79.4,0,top
C13,100nf,C_0603_1608Metric,144.7,-82.2,0,top
C14,100nf,C_0603_1608Metric,144.275,-90.25,0,top
C15,100nf,C_0603_1608Metric,144.275,-91.88,0,top
C16,100nf,C_0603_1608Metric,144.275,-93.48,0,top
C17,100nf,C_0603_1608Metric,144.275,-95.08,0,top
C20,1uF / 25V,C_0603_1608Metric,151.525,-96.5,180,top
C21,1uF / 25V,C_0603_1608Metric,147.825,-93.7,180,top
C22,1uF / 25V,C_0603_1608Metric,151.525,-93.7,180,top
C23,1uF / 25V,C_0603_1608Metric,154.625,-93.7,0,top
C24,1uF / 25V,C_0603_1608Metric,154.6,-96.5,0,top
C25,1uF / 25V,C_0603_1608Metric,157.825,-96.5,0,top
C26,1uF / 25V,C_0603_1608Metric,160.8,-98.7,-90,top
C27,4.7uF / 25V,C_0603_1608Metric,151.525,-99.3,0,top
C28,1uF / 6.3V,C_0402_1005Metric,144.32,-106.13,0,top
C29,0.1uF / 16V,C_0402_1005Metric,144.32,-108.1,0,top
D1,SD103AW,D_SOD-123,148.1,-98.2,-90,top
D2,SD103AW,D_SOD-123,155.65,-99.7,0,top
D3,SD103AW,D_SOD-123,155.6,-102.2,180,top
J1,Barrel_Jack,PowerPads,167.4,-107,90,top
J2,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,167.48,-79.05,0,top
L1,10uH,L_Ferrocore_DLG-0302,143.7,-98.3,-90,top
Q1,NMOS,SOT-323_SC-70,148.25,-102.8,90,top
R1,1K,R_0603_1608Metric,158,-93.7,0,top
R2,10K,R_0603_1608Metric,162.9,-83.6,90,top
R4,0.47R,R_0805_2012Metric,144.5,-102.8,-90,top
R8,1K,R_0603_1608Metric,141.3,-79.4,180,top
SW3,SW_Push,PTS526,159.6,-73.5,-90,top
SW4,SW_Push,PTS526,148.15,-73.525,-90,top
SW5,SW_Push,PTS526,153.85,-73.5,-90,top
SW6,SW_Push,PTS526,142.5,-73.525,-90,top
SW7,SW_Push,PTS526,168.5,-87.5,90,top
U2,~,SOT-223,166.5,-96.75,-90,top
U3,~,KH-FG0.5-H2.0-24PIN,155.6,-108.1,0,top
U4,STM32F103C8T6,LQFP-48,155.45,-83.62,180,top
Y1,32k,Crystal_SMD_3215-2Pin_3.2x1.5mm,164.4,-72.1,-90,top
